country,year,population
AGO,2012,25177394.0
ALB,2012,2900401.0
ARE,2012,7391448.0
ARM,2012,3024100.0
AUT,2012,8429991.0
BDI,2012,10071028.0
BEL,2012,11106932.0
BEN,2012,10397657.0
BFA,2012,17172287.0
BGR,2012,7305888.0
BHR,2012,1208964.0
BWA,2012,2108617.0
CAF,2012,4610848.0
CHE,2012,7996861.0
CIV,2012,23467078.0
CMR,2012,20809529.0
COD,2012,73254618.0
COG,2012,4740450.0
COM,2012,681630.0
CZE,2012,10510785.0
DEU,2012,80425823.0
DJI,2012,966747.0
DNK,2012,5591572.0
DZA,2012,37646166.0
EGY,2012,93161001.0
ERI,2012,3036988.0
ESP,2012,46773055.0
EST,2012,1322696.0
ETH,2012,95798767.0
FIN,2012,5413971.0
FRA,2012,65657659.0
GAB,2012,1846889.0
GBR,2012,63711000.0
GHA,2012,26734268.0
GIN,2012,10921581.0
GMB,2012,2043094.0
GNB,2012,1651417.0
GNQ,2012,1293483.0
GRC,2012,11045011.0
HRV,2012,4260368.0
HUN,2012,9920362.0
IRL,2012,4599533.0
IRN,2012,79370580.0
IRQ,2012,33654842.0
ITA,2012,60191247.0
JOR,2012,7587127.0
KEN,2012,43888303.0
KWT,2012,3337109.0
LBN,2012,5235742.0
LBR,2012,4373043.0
LBY,2012,6179328.0
LSO,2012,2034354.0
LTU,2012,2989139.0
LVA,2012,2034319.0
MAR,2012,33355241.0
MDG,2012,23462438.0
MLI,2012,16957033.0
MOZ,2012,24337846.0
MRT,2012,3619034.0
MUS,2012,1255882.0
MWI,2012,15709577.0
NAM,2012,2194654.0
NER,2012,17836769.0
NGA,2012,176200625.0
NLD,2012,16754962.0
NOR,2012,5018573.0
OMN,2012,3547106.0
POL,2012,38063164.0
PRT,2012,10514844.0
QAT,2012,1722438.0
ROU,2012,20058035.0
RWA,2012,10829901.0
SAU,2012,26168861.0
SDN,2012,36923178.0
SEN,2012,13310495.0
SLE,2012,6551080.0
SOM,2012,12461160.0
SSD,2012,10756240.0
SWE,2012,9519374.0
SWZ,2012,1123863.0
SYR,2012,22759763.0
TCD,2012,13210998.0
TGO,2012,7100736.0
TUN,2012,11009647.0
TUR,2012,75175827.0
TZA,2012,47374260.0
UGA,2012,34337438.0
YEM,2012,28433647.0
